description;reference;external_referential_description;type;nb_of_vcpu;total_disk;lifespan
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;rack-server--25;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;rack-server--26;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;rack-server--27;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;rack-server--28;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 24 RAM, 16 GB each / 0 GPU;rack-server--29;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 24 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 16 GB each / 0 GPU;rack-server--30;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 64 GB each / 0 GPU;rack-server--31;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 48 RAM, 64 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;rack-server--32;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 4 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;rack-server--33;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 2 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;rack-server--34;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 8 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;rack-server--35;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 16 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 24 RAM, 16 GB each / 0 GPU;rack-server--36;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 24 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 16 GB each / 0 GPU;rack-server--37;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 16 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 64 GB each / 0 GPU;rack-server--38;Rack server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 64 GB each / 0 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 4 GB each / 1 GPU;rack-server--39;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 4 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 1 GPU;rack-server--40;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 2 RAM, 16 GB each / 1 GPU;Compute;;;
Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 8 RAM, 16 GB each / 1 GPU;rack-server--41;Rack server / 2 processor high-end / 1 SSD: 1024 GB each / 0 HDD / 8 RAM, 16 GB each / 1 GPU;Compute;;;
