description;reference;external_referential_description;type;nb_of_vcpu;total_disk;lifespan
Blade server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 64 GB each / 1 GPU;blade-server--52;Blade server / 2 processor high-end / 4 SSD: 2048 GB each / 0 HDD / 48 RAM, 64 GB each / 1 GPU;Compute;;;
Storage bay / 24 disks - SLC, 256 GB;storage-bay--1;Storage bay / 24 disks - SLC, 256 GB;Storage;;;
Storage bay / 24 disks - SLC, 1024 GB;storage-bay--2;Storage bay / 24 disks - SLC, 1024 GB;Storage;;;
Storage bay / 24 disks - SLC, 2048 GB;storage-bay--3;Storage bay / 24 disks - SLC, 2048 GB;Storage;;;
Storage bay / 24 disks - MLC, 256 GB;storage-bay--4;Storage bay / 24 disks - MLC, 256 GB;Storage;;;
Storage bay / 24 disks - MLC, 1024 GB;storage-bay--5;Storage bay / 24 disks - MLC, 1024 GB;Storage;;;
Storage bay / 24 disks - MLC, 2048 GB;storage-bay--6;Storage bay / 24 disks - MLC, 2048 GB;Storage;;;
Storage bay / 24 disks - TLC, 256 GB;storage-bay--7;Storage bay / 24 disks - TLC, 256 GB;Storage;;;
Storage bay / 24 disks - TLC, 1024 GB;storage-bay--8;Storage bay / 24 disks - TLC, 1024 GB;Storage;;;
Storage bay / 24 disks - TLC, 2048 GB;storage-bay--9;Storage bay / 24 disks - TLC, 2048 GB;Storage;;;
Storage bay / 24 disks - QLC, 256 GB;storage-bay--10;Storage bay / 24 disks - QLC, 256 GB;Storage;;;
Storage bay / 24 disks - QLC, 1024 GB;storage-bay--11;Storage bay / 24 disks - QLC, 1024 GB;Storage;;;
Storage bay / 24 disks - QLC, 2048 GB;storage-bay--12;Storage bay / 24 disks - QLC, 2048 GB;Storage;;;
Storage bay / 24 disks - HDD;storage-bay--13;Storage bay / 24 disks - HDD;Storage;;;
Storage bay / 48 disks - SLC, 256 GB;storage-bay--14;Storage bay / 48 disks - SLC, 256 GB;Storage;;;
Storage bay / 48 disks - SLC, 1024 GB;storage-bay--15;Storage bay / 48 disks - SLC, 1024 GB;Storage;;;
Storage bay / 48 disks - SLC, 2048 GB;storage-bay--16;Storage bay / 48 disks - SLC, 2048 GB;Storage;;;
Storage bay / 48 disks - MLC, 256 GB;storage-bay--17;Storage bay / 48 disks - MLC, 256 GB;Storage;;;
Storage bay / 48 disks - MLC, 1024 GB;storage-bay--18;Storage bay / 48 disks - MLC, 1024 GB;Storage;;;
Storage bay / 48 disks - MLC, 2048 GB;storage-bay--19;Storage bay / 48 disks - MLC, 2048 GB;Storage;;;
Storage bay / 48 disks - TLC, 256 GB;storage-bay--20;Storage bay / 48 disks - TLC, 256 GB;Storage;;;
Storage bay / 48 disks - TLC, 1024 GB;storage-bay--21;Storage bay / 48 disks - TLC, 1024 GB;Storage;;;
Storage bay / 48 disks - TLC, 2048 GB;storage-bay--22;Storage bay / 48 disks - TLC, 2048 GB;Storage;;;
Storage bay / 48 disks - QLC, 256 GB;storage-bay--23;Storage bay / 48 disks - QLC, 256 GB;Storage;;;
Storage bay / 48 disks - QLC, 1024 GB;storage-bay--24;Storage bay / 48 disks - QLC, 1024 GB;Storage;;;
Storage bay / 48 disks - QLC, 2048 GB;storage-bay--25;Storage bay / 48 disks - QLC, 2048 GB;Storage;;;
Storage bay / 48 disks - HDD;storage-bay--26;Storage bay / 48 disks - HDD;Storage;;;
