criteria;planetary_boundary;source;individual_sustainable_package
Climate change;6810000000000;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2019;851.25
Particulate matter and respiratory inorganics;516000;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2020;0.0000645
Ionising radiation;527000000000000;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2021;65875
Acidification;1000000000000;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2022;125
Resource use (minerals and metals);219000000;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;0.027375
